iter	Passed	Remaining
287	441	1090
288	442	1087
289	442	1084
290	443	1080
291	444	1077
292	445	1074
293	445	1070
294	446	1067
295	447	1064
296	448	1061
297	449	1058
298	449	1054
299	450	1051
300	451	1048
301	452	1045
302	453	1042
303	453	1039
304	454	1036
305	455	1033
306	456	1030
307	457	1027
308	458	1024
309	458	1021
310	459	1018
311	460	1015
312	461	1012
313	462	1009
314	462	1006
315	463	1003
316	464	1000
317	465	998
318	466	995
319	467	992
320	468	989
321	468	987
322	469	984
323	470	981
324	471	978
325	472	976
326	472	973
327	473	970
328	474	967
329	475	965
330	476	962
331	476	959
332	477	956
333	478	954
334	479	951
335	480	949
336	481	946
337	483	946
338	483	943
339	484	941
340	485	938
341	486	936
342	487	933
343	488	931
344	489	928
345	490	926
346	490	923
347	491	921
348	492	918
349	493	915
350	493	913
351	494	910
352	495	908
353	496	905
354	497	903
355	498	901
356	498	898
357	499	896
358	500	893
359	501	891
360	502	888
361	503	886
362	503	884
363	504	881
364	505	879
365	506	877
366	507	874
367	508	872
368	508	870
369	509	868
370	510	865
371	511	863
372	512	861
373	513	859
374	514	857
375	515	854
376	515	852
377	516	850
378	517	847
379	518	845
380	519	843
381	519	841
382	520	838
383	521	836
384	522	834
385	523	832
386	524	830
387	525	828
388	525	825
389	526	823
390	527	821
391	528	819
392	529	817
393	530	815
394	530	813
395	531	811
396	532	809
397	533	806
398	534	804
399	535	802
400	536	800
401	536	798
402	537	796
403	538	794
404	539	792
405	540	790
406	541	788
407	541	786
408	542	784
409	543	782
410	544	780
411	545	778
412	546	776
413	546	774
414	547	772
415	548	770
416	549	768
417	550	766
418	551	764
419	552	762
420	552	760
421	553	758
422	554	756
423	555	754
424	556	752
425	557	750
426	558	748
427	558	746
428	559	744
429	560	742
430	561	740
431	562	739
432	562	737
433	563	735
434	564	733
435	565	731
436	566	729
437	567	727
438	568	726
439	568	724
440	569	722
441	570	720
442	571	718
443	572	716
444	573	715
445	574	713
446	575	711
447	575	709
448	576	707
449	577	706
450	578	704
451	579	702
452	580	700
453	581	698
454	581	696
455	582	695
456	583	693
457	584	691
458	585	689
459	586	688
460	587	686
461	588	684
462	588	683
463	589	681
464	590	679
465	591	677
466	592	676
467	593	674
468	593	672
469	594	670
470	595	669
471	596	667
472	597	665
473	598	663
474	599	662
475	599	660
476	601	659
477	601	657
